Version|5
Timestamp Start|20120221_190637
Timestamp Ende|20120221_190657
Triggernummer|3140
Trigger-Timestamp|20120221_190647
DD-Sensor|03B00055U
Konfiguration|03B00055U_20111122_113546.dcf
Triggergrund|Verzoegerung
GPS Start|20120221_190637|51.02978000|13.75716000
GPS Ende|20120221_190657|51.03359600|13.75015800
GPS Trigger|20120221_190648|51.03326300|13.75030300
GPS alt|||
Zeit|Signal|Wert|Einheit
0.14900|Licht_Abblend_S|an|---
0.14900|Licht_Fern_S|aus|---
0.14900|Licht_Hupe_S|aus|---
0.14900|Licht_Nebelschluss_S|aus|---
0.14900|Licht_Stand_S|an|---
0.14900|Zusatz_GW_Gurt_WL_1|aus|
0.14900|Zusatz_GW_Nebelschluss_KL|aus|
0.15000|ESP_S_1|aktiv|---
0.15000|Motor_n|2283.00000000|1/min
0.15500|Lenkrad_W_B|3.98580000|°
0.15500|Lenkrad_W_R|links|---
0.15500|Lenkrad_W_v_B|0.00000000|°/s
0.15500|Lenkrad_W_v_R|links|°/s
0.15500|FZ_Gierrate|0.34500000|°/s
0.15500|FZ_a_y_1|-0.06207000|g
0.15600|ABS_E_1|regelt nicht|---
0.15600|Bremse_Pedal_S_2|nicht betaetigt|---
0.15600|FZ_a_y|0.00780000|g
0.15600|Zusatz_Bremse_Licht_S|nicht aktiv|
0.15600|ABS_E|regelt nicht|---
0.15600|Bremse_Pedal_S|nicht betaetigt|---
0.15600|ESP_E_1|regelt nicht|---
0.15600|ESP_S|aktiv|
0.15600|Rad_n_HL|399.00000000|1/min
0.15600|Rad_n_HR|400.00000000|1/min
0.15600|Zusatz_Bremse_Moment|0.00000000|
0.15700|ABS_WL|aus|---
0.15700|Bremse_DOT_S|ok|---
0.15700|Bremse_Hand|geloest|---
0.15700|Bremse_Pedal_S_1|nicht betaetigt|---
0.15700|ESP_E|regelt nicht|---
0.15700|ESP_KL|aus|
0.15700|Rad_n_VL|399.00000000|1/min
0.15700|Rad_n_VL_1|399.00000000|1/min
0.15700|Rad_n_VR|398.00000000|1/min
0.16000|DR_Gierrate|0.24414062|°/s
0.16000|DR_a_x|-0.08800000|g
0.16000|DR_a_y|-0.02400000|g
0.16000|DR_a_z|1.05600000|g
0.16000|Gang_Getriebe|3|---
0.16000|Gang_Wahl|3|---
0.16000|Zusatz_GW_Werkstatt_KL|aus|
0.16000|Zusatz_Gang_Anzeige_KI|m 3|---
0.16000|ESP_S_1|aktiv|---
0.16000|Motor_n|2285.00000000|1/min
0.16400|GW_ESP_KL|aus|
0.16400|Gaspedal_W|0.00000000|%
0.16400|Zusatz_Kickdown|nicht betaetigt|---
0.16400|Motor_KL|aus|
0.16400|Zusatz_GW_Batterie_WL|aus|
0.16400|Zusatz_GW_KuehlMtemp_WL|aus|
