Version|5
Timestamp Start|20100914_123322
Timestamp Ende|20100914_123352
Triggernummer|364
Trigger-Timestamp|20100914_123342
DD-Sensor|
Konfiguration|
Triggergrund|ESP-Algorithmus
GPS Start|20100914_123322|51.03397000|13.74831300
GPS Ende|20100914_123351|51.03440500|13.74938300
GPS Trigger|20100914_123342|51.03349800|13.74944100
GPS alt|||
Zeit|Signal|Wert|Einheit
0.09100|Airbag_WL_1|aus|---
0.09100|Gurt_VL|gesteckt|---
0.09100|Zusatz_GW_Gurt_WL|aus|
0.09167|ESP_S_1|aktiv|---
0.09167|Motor_n|1631.00000000|1/min
0.09433|GW_ESP_KL|aus|
0.09433|Gaspedal_W|0.00000000|%
0.09433|Zusatz_Kickdown|nicht betaetigt|---
0.09567|Motor_KL|aus|
0.09567|Zusatz_GW_Batterie_WL|aus|
0.09567|Zusatz_GW_KuehlMtemp_WL|aus|
0.09567|Zusatz_GW_Oeldruck_WL|aus|
0.09700|Lenkrad_W_B|3.98580000|°
0.09700|Lenkrad_W_R|links|---
0.09700|Lenkrad_W_v_B|0.00000000|°/s
0.09700|Lenkrad_W_v_R|links|°/s
0.09833|ESP_S_1|aktiv|---
0.09833|Motor_n|1630.00000000|1/min
0.10034|DR_Gierrate|0.24414062|°/s
0.10103|DR_a_x|-0.04000000|g
0.10103|DR_a_y|0.02400000|g
0.10103|DR_a_z|0.98800000|g
0.10241|Blinker_L_S|aus|---
0.10241|Blinker_R_S|aus|---
0.10241|Blinker_Warnblinker_S|aus|---
0.10241|Licht_Abblend_S|an|---
0.10241|Licht_Fern_S|aus|---
0.10241|Licht_Hupe_S|aus|---
0.10241|Licht_Nebelschluss_S|aus|---
0.10241|Licht_Stand_S|an|---
0.10241|Zusatz_GW_Gurt_WL_1|aus|
0.10241|Zusatz_GW_Nebelschluss_KL|aus|
0.10379|ABS_E_1|regelt nicht|---
0.10379|Bremse_Pedal_S_2|nicht betaetigt|---
0.10379|FZ_a_y|0.00780000|g
0.10379|Zusatz_Bremse_Licht_S|nicht aktiv|
0.10448|ABS_E|regelt nicht|---
0.10448|Bremse_Pedal_S|nicht betaetigt|---
0.10586|FZ_Gierrate|0.40500000|°/s
0.10586|FZ_a_y_1|-0.02398000|g
0.10724|ESP_E_1|regelt nicht|---
0.10724|ESP_S|aktiv|
0.10724|Rad_n_HL|381.00000000|1/min
0.10724|Rad_n_HR|381.00000000|1/min
0.10724|Zusatz_Bremse_Moment|0.00000000|
0.10793|ABS_WL|aus|---
0.10793|Bremse_DOT_S|ok|---
0.10793|Bremse_Hand|geloest|---
0.10793|Bremse_Pedal_S_1|nicht betaetigt|---
0.10793|ESP_E|regelt nicht|---
0.10793|ESP_KL|aus|
0.10793|Rad_n_VL|385.50000000|1/min
0.10793|Rad_n_VL_1|385.50000000|1/min
0.10793|Rad_n_VR|385.00000000|1/min
0.10862|Lenkrad_W_B|4.46760000|°
0.10862|Lenkrad_W_R|links|---
0.10862|Lenkrad_W_v_B|0.00000000|°/s
0.10862|Lenkrad_W_v_R|links|°/s
0.11000|Gang_Getriebe|4|---
0.11000|Gang_Wahl|4|---
0.11000|Zusatz_GW_Werkstatt_KL|aus|
0.11000|Zusatz_Gang_Anzeige_KI|m 4|---
0.11069|Airbag_WL|aus|---
0.11069|Airbag_WL_1|aus|---
0.11069|Gurt_VL|gesteckt|---
0.11069|Zusatz_GW_Gurt_WL|aus|
0.11138|ESP_S_1|aktiv|---
0.11138|Motor_n|1631.00000000|1/min
0.11414|GW_ESP_KL|aus|
0.11414|Gaspedal_W|0.00000000|%
0.11414|Zusatz_Kickdown|nicht betaetigt|---
0.11483|Motor_KL|aus|
0.11483|Zusatz_GW_Batterie_WL|aus|
0.11483|Zusatz_GW_KuehlMtemp_WL|aus|
0.11483|Zusatz_GW_Oeldruck_WL|aus|
0.11552|Batterie_U|14.20000000|V
0.11552|FZ_v|41.80000000|km/h
0.11552|KM|5972.00000000|km
0.11690|Lenkrad_W_B|3.98580000|°
0.11690|Lenkrad_W_R|links|---
0.11690|Lenkrad_W_v_B|0.00000000|°/s
0.11690|Lenkrad_W_v_R|links|°/s
0.11828|ESP_S_1|aktiv|---
0.11828|Motor_n|1630.00000000|1/min
0.12033|DR_Gierrate|-0.48828125|°/s
0.12100|DR_a_x|-0.04000000|g
0.12100|DR_a_y|0.05200000|g
0.12100|DR_a_z|1.01600000|g
0.12167|Temperatur_Aussen|13.50000000|°C
0.12167|Zusatz_Licht_Instrumente|30.00000000|%
0.12300|Blinker_L_S|aus|---
0.12300|Blinker_R_S|aus|---
0.12300|Blinker_Warnblinker_S|aus|---
0.12300|Licht_Abblend_S|an|---
0.12300|Licht_Fern_S|aus|---
0.12300|Licht_Hupe_S|aus|---
0.12300|Licht_Nebelschluss_S|aus|---
0.12300|Licht_Stand_S|an|---
0.12300|Zusatz_GW_Gurt_WL_1|aus|
0.12300|Zusatz_GW_Nebelschluss_KL|aus|
0.12433|ABS_E_1|regelt nicht|---
0.12433|Bremse_Pedal_S_2|nicht betaetigt|---
0.12433|FZ_a_y|0.01640000|g
0.12433|Zusatz_Bremse_Licht_S|nicht aktiv|
0.12500|ABS_E|regelt nicht|---
0.12500|Bremse_Pedal_S|nicht betaetigt|---
0.12567|FZ_Gierrate|0.46000000|°/s
0.12567|FZ_a_y_1|-0.02827000|g
0.12767|ESP_E_1|regelt nicht|---
0.12767|ESP_S|aktiv|
0.12767|Rad_n_HL|380.00000000|1/min
0.12767|Rad_n_HR|381.50000000|1/min
0.12767|Zusatz_Bremse_Moment|0.00000000|
0.12833|ABS_WL|aus|---
0.12833|Bremse_DOT_S|ok|---
0.12833|Bremse_Hand|geloest|---
0.12833|Bremse_Pedal_S_1|nicht betaetigt|---
